sr.no,Game Name,Genre,Description,Download Link,Profile Image URL
1,Grand Theft Auto 5,"open world,  action","GTA 5 is an open-world action-adventure game set in the fictional state of San Andreas, featuring three main protagonists: Michael De Santa, a retired criminal; Franklin Clinton, a street hustler; and Trevor Philips, a violent and unpredictable maniac. Players can switch between these three characters as they engage in heists, car chases, shootouts, and various side activities in the vast city of Los Santos. The game includes a highly detailed open world, realistic physics, and GTA Online, a multiplayer mode where players can compete in races, missions, and own businesses. With stunning visuals, deep storytelling, and endless possibilities, GTA 5 remains one of the most popular games in the series.",https://coolrom.com.au/roms/ps3/71044/Grand_Theft_Auto_V.php,D:\Data Science Project\game platform\gta 5.jpg
2,Grand Theft Auto 4,"open world,  action","GTA 4 follows the story of Niko Bellic, an Eastern European immigrant who arrives in Liberty City (based on New York) looking for the American Dream. However, his past catches up with him, dragging him into gang wars, criminal activities, and betrayals. The game introduced realistic physics, improved vehicle handling, and a deep narrative, making it one of the most immersive GTA experiences. Liberty City is beautifully detailed, with a living, breathing environment full of side missions, mini-games, and interactions that shape Niko’s journey.",https://romsfun.com/roms/playstation-3/grand-theft-auto-iv-gta-4.html,D:\Data Science Project\game platform\gta 4.jpg
3,Grand Theft Auto 3,"open world,  action","GTA 3 was the first 3D open-world GTA game, changing the gaming industry forever. The story follows Claude, a silent protagonist who gets betrayed by his girlfriend during a bank heist and seeks revenge while climbing the ranks of the Liberty City underworld. The game introduced an open-ended gameplay style, where players could complete missions at their own pace, steal cars, fight gangs, and explore the vast city. With its engaging story, brutal combat, and thrilling car chases, GTA 3 set the foundation for modern open-world games.",https://coolrom.com.au/roms/ps2/70217/Grand_Theft_Auto_III.php,D:\Data Science Project\game platform\gta3.jpg
4,Grand Theft Auto: San Andrease,"open world,  action","GTA: San Andreas takes players to Los Santos, San Fierro, and Las Venturas (fictional versions of Los Angeles, San Francisco, and Las Vegas) as they follow the journey of Carl ""CJ"" Johnson, a former gangster who returns home to avenge his mother’s murder. The game features one of the largest maps in classic GTA, with customizable characters, gang wars, business investments, and even gym training. With a rich storyline, RPG-style character progression, and diverse missions, San Andreas remains one of the most beloved GTA games.",https://coolrom.com.au/roms/ps2/41807/Grand_Theft_Auto_-_San_Andreas.php,D:\Data Science Project\game platform\gta san.jpg
5,Grand Theft Auto: Vice City,"open world,  action","Set in the 1980s, GTA: Vice City follows Tommy Vercetti, a former mafia hitman looking to build his criminal empire in Vice City (inspired by Miami). With its neon-soaked streets, vibrant nightlife, and classic 80s soundtrack, the game delivers a nostalgic experience filled with drug deals, assassinations, and real estate takeovers. Players can drive classic cars, ride motorcycles, fly helicopters, and even buy properties to expand their influence. Inspired by films like Scarface, Vice City is a timeless GTA masterpiece.",https://coolrom.com.au/roms/ps2/70195/Grand_Theft_Auto_-_Vice_City.php,D:\Data Science Project\game platform\gta vice.jpg
6,Grand Theft Auto: Triology,"open world,  action","GTA: The Trilogy – The Definitive Edition is a remastered collection of GTA III, Vice City, and San Andreas, featuring improved graphics, enhanced lighting, better controls, and smoother animations. While it aimed to modernize the classics, the release faced technical issues and mixed reviews. However, for players wanting to relive the classic GTA games with updated visuals and gameplay, this collection offers a modernized experience of the legendary trilogy.",https://store.rockstargames.com/game/buy-grand-theft-auto-the-trilogy-the-definitive-edition,D:\Data Science Project\game platform\gta tri.jpg
7,God of War,"fighting,  boss fight,  missions","God of War is an action-adventure game series developed by Santa Monica Studio and published by Sony Interactive Entertainment. The game follows Kratos, a former Spartan warrior, as he embarks on epic quests driven by vengeance, redemption, and fatherhood. Initially set in Greek mythology, the latest installments shift to Norse mythology, featuring his son, Atreus. With intense combat, deep storytelling, and breathtaking visuals, God of War is one of the most critically acclaimed franchises in gaming history.",https://coolrom.com.au/roms/ps2/41795/God_of_War.php,D:\Data Science Project\game platform\gow.jpg
8,God of War 2,"fighting,  boss fight,  missions","God of War II is an action-adventure game developed by Santa Monica Studio and released in 2007 for the PlayStation 2. The game continues the story of Kratos, who, after becoming the new God of War, is betrayed by Zeus and stripped of his powers. Seeking revenge, Kratos embarks on a journey to find the Sisters of Fate, aiming to change his destiny and take down the Olympian gods. With epic boss battles, brutal combat, and deep mythology, God of War II is considered one of the greatest PlayStation 2 games of all time.",https://coolrom.com.au/roms/ps2/41805/God_of_War_II.php,D:\Data Science Project\game platform\gow2.jpg
9,God of War 3,"fighting,  boss fight,  missions","God of War III is an action-adventure hack-and-slash game developed by Santa Monica Studio and released in 2010 for the PlayStation 3. The game follows Kratos as he wages war against Mount Olympus, seeking vengeance against Zeus and the other gods who betrayed him. Armed with the Blades of Exile, Kratos battles powerful foes, including Hades, Poseidon, and Hercules, in an epic journey filled with brutal combat, puzzles, and cinematic storytelling. With stunning visuals and intense gameplay, God of War III is regarded as one of the best games in the series.",https://coolrom.com.au/roms/ps3/71049/God_of_War_III.php,D:\Data Science Project\game platform\gow 3.jpg
10,God of War: Chain Of Olympus,"fighting,  boss fight,  missions","God of War: Chains of Olympus is an action-adventure game developed by Ready at Dawn and released in 2008 for the PlayStation Portable (PSP). It serves as a prequel to the original God of War (2005) and follows Kratos during his ten-year servitude to the gods of Olympus. Tasked with rescuing the sun god Helios, Kratos battles mythical creatures, uncovers dark secrets, and faces powerful foes like Persephone and Atlas. With smooth combat, engaging puzzles, and a gripping storyline, Chains of Olympus delivers a full God of War experience on a handheld console.",https://coolrom.com.au/roms/psp/45668/God_of_War_-_Chains_of_Olympus_(Europe).php,D:\Data Science Project\game platform\gow chain.jpg
